BP_Author full name,BP_Author last name first,BP_Brief Summary of the Work,BP_Description_1,BP_Title,BP_Date Published,BP_Edition Number,BP_Provenance,BP_Publication Place,BP_Collation/Pagination/Foliation,BP_BibliographicNotes
,"Keefer, Samuel; Morgan, Henry J.",Samuel Keefer,,Letter from Samuel Keefer to Henry Morgan,1871,0,,Brockville,"Manuscript letter, 13 x 20cm, 1 p.","Dated September 14, 1871"
Walter Shanly,"Shanly, Walter",Walter Shanly,,Walter Shanly bookplates,Unknown,0,,Unknown,"2 printed book plates, 8.5 x 11 cm",
,Niagara Falls,Niagara Falls,"Photographs of various bridges in the  Niagara area, including: Fallsview Bridge, M.C.R. Bridge, Peace Bridge, Old Michigan Central Bridge.",Photographs of Niagara area bridges,1917,0,,Niagara,"12 photographs, several mounted on black paper with ms captions.",Removed from an album?
,"Canada, Government of",Ritual of the calling of an engineer,Canada Post stamps commemorating the ritual calling of an engineer,Ritual of the calling of an engineer commemorative stamps,2000,0,,Montreal,"2 envelopes, 32 stamps",
,"Canada, Government of",Canadian Canals,"Stamps commemorating notable canals of Canada, including: Trent-Severn Waterway; Chambly Canal; La Chine Canal; Sault Ste. Marie Canal;  St Peter's Canal; St. Ours Canal; Port Carling Lock; Rideau Canal",Canals of Canada commemorative stamps,1998?,0,,Ontario,"1 sealed envelope, booklet of 10 stamps",Sealed envelope addressed to Mark Andrews from the Merrickville Heritage Foundation
,"Simpson, James",Toronto,,Toronto waterfront development 1912-1920,1920?,0,,Toronto,"Brown limp suede? binding, 36 x 36 cm, 32 pp. [3] folding plates",Binding is crumbling.
,St. Lawrence Seaway,St. Lawrence Seaway,"Part of  a report? discussing a proposed Canal at Caughnawaga, Quebec. Repeatedly mentions a 'Mr. Young.'",Caughnawaga Canal,1880c,0,,Quebec,"Unbound, 21.5 x 33 cm, 14 pp. in manuscript",
,St. Lawrence Seaway,St. Lawrence Seaway,Part of  a report? discussing the Montreal harbour. Repeatedly mentions a 'Mr. Young.',Docks at Montreal,1880c,0,,Quebec,"Unbound, 21.5 x 33 cm, 13 pp. in manuscript",
,Welland Canal,St. Lawrence Seaway,Part of  a report? discussing the St. Lawrence Seaway and the Welland Canal.,Enlargement of the Welland Canal,1880c,0,,"Welland, Ontario","Unbound, 21.5 x 33 cm, 19 pp. in manuscript",
Franz Hrnicek,"Hrniček, Franz; Royal German Technical School",Bridge construction,Technical drawings completed for a course in engineering at the Royal German Technical School of Prague.,Student portfolio: Brückenbau [Bridge construction],1902,0,,Prague,"Black cloth, title stamped in gold on upper cover, with black cloth ties, 22 x 35cm, 18 folding coloured drawings, accompanied by 3 booklets with ms notes",Author's autograph and stamp of the school.
Franz Hrniček,"Hrniček, Franz; Royal German Technical School",Railway construction,Technical drawings completed for a course in engineering at the Royal German Technical School of Prague.,Student portfolio: Eisenbahnbau [Railway construction],1903,0,,Prague,"Black cloth, title stamped in gold on upper cover, with black cloth ties, 22 x 35cm, 9 folding coloured drawings, accompanied by 1 booklets with ms notes",Author's autograph and stamp of the school.
Franz Hrniček,"Hrniček, Franz; Royal German Technical School",Civil engineering,Technical drawings completed for a course in engineering at the Royal German Technical School of Prague.,Student portfolio: Hochbau [Civil engineering],1903,0,,Prague,"Black cloth, title stamped in gold on upper cover, with black cloth ties, 22 x 35cm, 18 folding coloured drawings, accompanied by 1 booklet with ms notes",Author's autograph and stamp of the school.
Franz Hrniček,"Hrniček, Franz; Royal German Technical School",Hydraulic engineering,Technical drawings completed for a course in engineering at the Royal German Technical School of Prague.,Student portfolio: Wasserbau [Hydraulic engineering],1904,0,,Prague,"Black cloth, title stamped in gold on upper cover, with black cloth ties, 22 x 35cm, 7 folding coloured drawings, accompanied by 1 booklet with ms notes",Author's autograph and stamp of the school.
,Van Keuren Co.,Instruments,,"Van Keuren precision measuring tools: twenty-fifth anniversary … catalog and handbook, no. 33",1945,0,,Massachusetts,"Blue cloth with title and vignette stamped in silver on upper cover, 15.5 x 23cm, 160 pp.",
Thomas C. Clarke,"Canada, Legislative Assembly; Clarke, Thomas C.",Ottawa Ship Canal,,Return of the recent survey and report of the engineers on the Otttawa Ship Canal,1860,0,,Quebec,"Blue printed paper wrappers, 16 x 24.5 cm, 56 pp., [1] folding map",
,"Ontario, Legislative Assembly",Huron & Ontario Ship Canal,,"Reports of the ""Late House of Assembly,"" ""House of Commons,"" and the ""Legislative Assembly"" of Ontario, in relation to the Huron & Ontario Ship Canal",1871,4th,,Toronto,"Pink printed paper wrappers, 17 x 25 cm, [2] pp.","""In accordance with reolution passed Monday, the 20th February, 1871."""
R.W. Ells; A.E. Barlow,"Ells, R.W.; Barlow, A.E.",Ottawa Canal,,"The physical features and geology of the route of the proposed Ottaway Canal between the St. Lawrence River and Lake Huron. Reprint from the transactions of the Royal Society of Canada - Second series, 1895-96, volume I, section IV",1896,0,"Autograph: D. Matheson. Stamp: ""Compliments of Macleod Stewart""",Ottawa,"Tan printed paper wrappers (detached), 16 x 25 cm, 163-193, [1] pp., [1] folding plate.",
,"Keefer, Thomas Coltrin; Royal Society of Canada",St. Lawrence Navigation,Offprint,"Ice floods and winter navigation of the lower St. Lawrence. Transactions of the Royal Society of Canada: Second series - 1898-99, vol iv, sec iii",1898,0,,Ottawa and Toronto,"Tan printed paper wrappers (detached, rear missing), 16.5 x 25 cm,  3-26 pp.",
Frederick A. Gaby,"Gaby, Frederick A.; American Society of Civil Engineers",Hydro-Electric Power Commission of Ontario,"Offprint - reprinted from the Proceedings of the American Society of Civil Engineers, May 1926.",Developments of the hydro-electric power commission of Ontario,1926,0,,Unknown,"No covers, 15.5 x 23cm, [911]-941, [1] pp.",
,"Maruri, Joseph Antonio de; Abuanza, Luis de; Vincent, M; Munoz, Tomas",Bilbao Harbour,,Hydraulic Works at the Port of Bilbao,1770,0,,Bilbao Spain,"Three bound volumes, various manuscript maps, plans, drawings and textural material, various sizes, various formats",
Jacob de Gelder,"Gelder, Jacob de",Land drainage,,"Memorie ... behelzende deszelfs consideratien over het ontwerp van den heer Baron van Lynden van Hemmen, strekkende ter droogmaking van de Haarlemmermeer",1821,0,,Leiden,"Printed blue wraps, 13.5 x 23 cm, [half title][title], viii, 250 pgs, 3 pps, 1 folding plate, [errata]",
P. Hartsen,"Hartsen, P; Bunge, J.G.; Mühlen, A.D.",Merwedekanaal,,Rapporten over den stand der werkzaamheden aan het Merwedekanaal,1890,0,,Amsterdam,"Printed wraps, 16 x 24.5 cm, [title], 23 pgs, 1 folding map",
P.H. Kemper,"Kemper, P.H.",Merwedekanaal,,Beschrijving van het kanaal van Amsterdam naar de Merwede,1835,0,,The Hague,"Printed wraps, 16 x 23 cm, [title], vii, 223 pg",
P.H. Kemper,"Kemper, P.H.",Merwedekanaal,,Beschrijving van het kanaal van Amsterdam naar de Merwede,1835,0,,The Hague,"Printed wraps, 16 x 23 cm, 39 folding plates",
Jean-Rodolphe Perronet,"Perronet, Jean-Rodolphe",Bridge design,,"Mémoire sur la recherche des moyens que l'on pourroit employer pour construire de grandes arches de pierre ….. pieds d'ouverture, qui seroient destinées à franchir de profondes vallées bordées de rochers escarpés",1793,0,,Paris,"Red paper boards, 21 x 28 cm, [title], 44 pgs, 1 folding plate",
,Surveying manuscript,Survey benchmarks,,Schetsteekeningen behoorende bij de waterpassing van het Fort Bath naar het Sloe,1864,0,,Amsterdam,"Half leather, 20 x 33 cm, [titlt], 50 drawings in pencil and ink, on paper",
Seger Lakenman,"Lakenman, Seger",Dyke design,,"Ontwerp van een onkostbaar en zeker middel, om de Westvriesche zeedyken... te stellen buiten eenig gevaar van doorbrake",1733,0,,Amsterdam,"Half leather, green decorated paper on boards, 20 x 32 cm, [title], 2 pps, 23 pgs, 2 folding maps",
,Check dams,Check dams,,Die Wildbachverbauung in Den Jahren 1883-1894,1895,0,,Vienna,"Half cloth with printed paper boards, 28 x 35 cm, [title], v, 278 pgs, 25 plates (singel, folding and double)(some colur and some photographs)",
Antoine Joseph Chretien Defontaine,"Defontaine, Antoine Joseph Chretien",Paris to Rouen,,"Mémoire sur le projet d'un chemin de fer de Paris a Rouen, au Havre et a Dieppe",1837,0,,Paris,"Quarter leather, paper on boards, 22.5 x 29 cm, [original printed wrapper bound in], [half title][title], 254 pgs",In slipcase with folder of maps
Antoine Joseph Chretien Defontaine,"Defontaine, Antoine Joseph Chretien",Paris to Rouen,,"Mémoire sur le projet d'un chemin de fer de Paris a Rouen, au Havre et a Dieppe",1837,0,,Paris,"In paper folder, 21 x 29 cm, 1 folding map, 5 folding profiles",In slipcase with folder of maps
Conrad Salomon Walther,"Walther, Conrad Salomon",Engineering bibliogrpahy,,Versuch einer vollständigen Militair-Bibliothek,1783,0,,Dresden,"Blue paper on boards, 12 x 20 cm, [frontis][title], 7 pps, 376 pgs, 4 blank leaves (mss notes on 5 pages, 1 loose sheet with mss notes)",
Giuseppe Barca,"Barca, Giuseppe; Paoli, Vincenzo",Fortification design,,Breve compendio di fortificatione moderna,1639,0,Copy held by Vincenzo Paoli; Ex-libris (with inscription) Antonio Capretti and bookplate H.P. Kraus,Milan,"Full vellum, 16.5 x 22 cm, [title], 6 pps, 119 pgs, 1 pp, in gray cloth clamshell","Mss annotations by Vincenzo Paoli, see signature pg 39"
Lodovico Perini,"Perini, Lodovico; Graglia, Carlo Antonio Destefanis di",Applied geometry,,"Geometria Pratica, In cui, oltre I Principi de essa, vi sono molti insegnamenti intorno alle varie Misure di Terre, Acque, Fieni, Pietre, Grani, Fabbriche, ed altro",1778,0,,unknown,"Paper on boards, 20 x 26 cm, [title], 1 leaf, 145 pgs (last blank)","See 3rd edition, printed, ref 792"
Sir Alexander Gibb,"Sir Alexander Gibb & Partners; Gibb, Alexander; Zoological Society of London",Aquarium,"Series of documents, reports and letters detailing the planning and building of an aquarium for the Zoological Society of London.",Zoological Society of London: New aquarium,1922,0,,London,"Vol. 1: Half bound in blue cloth, stamped in gold with blue endpapers, ix, 435, [9] numbered leaves, typescript with some manuscript annotations and original correspondence tipped in throughout.",Volume 1 dates: 1922-1925. See index at front for contents.
Sir Alexander Gibb,"Sir Alexander Gibb & Partners; Gibb, Alexander; Zoological Society of London",Aquarium,"Series of documents, reports and letters detailing the planning and building of an aquarium for the Zoological Society of London. Also includes clippings and one photograph tipped in.",Zoological Society of London: New aquarium - water supply,1922,0,,London,"Vol. 2: Half bound in blue cloth, stamped in gold with blue endpapers, vii, 436-626 numbered leaves, typescript with some manuscript annotations and original correspondence tipped in throughout.",Volume 2 dates: 1922-1927. See index at front for contents.
,"Zatta, Antonio",Canada geography,"18th c. projection of North America (Canada, Luisianna and Florida), detached from book (see notes).","Il Canada, le colonie Inglesi con la Luigiana, e Florida, di nuiova projezione",1778,0,,Venice,"Folio sheet, # x # cm, printed hand coloured map.","Originally published in: Storia Dell'America Settentrionale Del Signore Abate Raynal Continuata fino al presente … Venice: Antonio Zatta, 1778."
John A. Roebling,"Kelogg, E.B.; Kellogg, E.C.",Niagara Suspension Bridge,,"Niagara suspension bridge: John A. Roebling, engineer and architect, cost about $500,000",1890?,0,,Niagara,"Colour lithographic print, 33.5 x 25.5 cm.",
Charles-Joseph Panckoucke,"Alessandri, Innocente; Scattaglia, Pietro; Panckoucke, Charles-Joseph",Floating Bridge,,"Charpente, pont volant",1783?,0,,France,"Engraving, 23 x 30 cm.","Marked plate 17. From Panckoucke's Encyclopédie méthodique par ordre des matières..., published 1782-1832."
,"Maxwell, William; South Eastern Railway Company",South Eastern Railway Company,"Indenture/contract between William Maxwell and the South Eastern Railway Company concerning a ""bridge and works"".",Contract for construction of bridge and works over the railway of Mercers Crossing,1879,0,With signature of William Maxwell and others.,London,"Manuscript in ink on parchment, 30.5 x 45 cm, 14 pp.",
E. Boudin,"Boudin, E.",Course notes,,"Cours d'hydraulique, Universite de Grand, ecole speciale du genie civil",1862,0,,Unknown,"Half leather, paper on boards, 16 x 23 cm, [title][blank], 127 numbered leaves, [blank], 38 un-numbered leaves, [blanks]","Course notes, with illustrations"
F.B. Tower,"Tower, F.B.",Croton Aqueduct,,Illustrations of the Croton Aqueduct,1843,0,,New York,"Brown cloth, gilt title, 25.5 x 33.5 cm, [title][dedication], vi, 2 pp, 152 pgs, 24 full page plates",
Alphonse Fteley,"Duane, James C.; Allen, Edward L.; Fteley, Alphonse",Croton Aqueduct,,Report to the Aqueduct Commissioners,1895,0,,New York,"Brown cloth, gilt title, gilt detail, 28 x 35 cm, [title], 104 pgs, 22 folding tables, 50 photographic plates, 1 plate, 71 sheets of maps and details drawings (most folding)","Tipped in note ""compliments of"" with signature of A. Fteley; errata slip tipped in"
George Everest,"Everest, George",Meridional Arc India,,"An account of the measurement of two sections of the meridional arc of India, etc",1847,0,,London,"Half leather, paper on boards, 26 x 33 cm, volume 1, [half title][frontis][title], 12 pgs, x - clxxxvii, 439 pgs, [errata], plate inserted at pg 248",
George Everest,"Everest, George",Meridional Arc India,,"An account of the measurement of two sections of the meridional arc of India, etc; engravings",1847,0,,London,"Half leather, paper on boards, 26 x 33 cm, volume 2, [title][errata tipped in][index], 31 plates",
Francesco Caldana,"Caldana, Francesco",Hydraulics,,Discorsi sopra i Rimedij alle inondazioni dell’Acque,1769,0,,Parma,"Vellum on boards, 19 x 26 cm, [title], 88, 25 numbered leaves, includes 33 pen and ink drawings, manuscript in single hand",
Claude Léopold Gennete,"Gennete, Claude Léopold",Wooden bridge design,,"Practische Anweisung zu einer besondern Einrichtung einer hölzernen horizontalen Brücke, die ungeheure Lasten tragen kann",1772,0,,Strasbourg,"Half leather, 12 x 18 cm, [title], 2 pps, 75 pgs, 6 folding plates",First german edition
,"Lardner, Dionysius",Economics,An examination of the mechanisms of railways and their effect on society.,"Railway economy; a treatise on the new art of transport, its management, prospects, and relations, commercial, financial, and social…",1850,0,,New York,"Blue cloth boards, gilt stamping on spine, 13.5x20.0 cm, 14 pp. advertisements, 442 pp.","With an exposition of the practical results of the railways in operation in the United Kingdom, on the continent, and in America."
Robert Stephenson,"Clark, Edwin",Bridge design,,The Britannia and Conway tubular bridges with general inquires on beams and on the properties of materials used in construction; volume 1,1850,0,,"Britannia, Conway","Cloth, 17 x 26 cm, [errat tipped in][half title][frontis map][title], xii, 466 pgs, 8 plates",See other copy 836.1 (of three volumes)
Robert Stephenson,"Clark, Edwin",Bridge design,,The Britannia and Conway tubular bridges with general inquires on beams and on the properties of materials used in construction; volume 2,1850,0,,"Britannia, Conway","Cloth, 17 x 26 cm, [half title][frontis][title], vii, [plates], 467 - 821 pgs, [subscribers iv pgs], 8 plates",See other copy 836.2 (of three volumes)
Robert Stephenson,"Clark, Edwin",Britannia and Conway,,The Britannia and Conway tubular bridges with general inquires on beams and on the properties of materials used in construction; volume 1,1850,0,,"Britannia, Conway","Cloth, 17 x 26 cm, [errat tipped in][half title][frontis map][title], xii, 466 pgs, 8 plates",See other copy 764.1 (of two volumes only)
Robert Stephenson,"Clark, Edwin",Britannia and Conway,,The Britannia and Conway tubular bridges with general inquires on beams and on the properties of materials used in construction; volume 2,1850,0,,"Britannia, Conway","Cloth, 17 x 26 cm, [half title][frontis][title], vii, [plates], 467 - 821 pgs, [subscribers iv pgs], 8 plates",See other copy 764.2 (of two volumes only)
Robert Stephenson,"Clark, Edwin",Britannia and Conway,,The Britannia and Conway tubular bridges with general inquires on beams and on the properties of materials used in construction; volume 3,1850,0,,"Britannia, Conway","Cloth, gilt embossed crest on cover, 38 x 56 cm, folio, [title] [list of plates] 46 plates (1 to 45 (two 12's and two 19's) and 40 and 41 on same sheet)(6 tinted lithographs, 3 folding, 37 single page)","See other copy 764.2 (of two volumes only), bookplate of Arthur Clayton"
Henri Maus,"Maus, Henri",Railway tunnel,,Rapport sur les etudes du chemin de fer de Chambery a Turin et de la machine proposee pour executer le tunnel des alpes entre Mondane et Bardonneche,1850,0,,Alpes Mountains,"Gray cloth spine, green paper on boards, 21 x 32 cm, [title], 56 pgs, 9 folding plates",
,Fratta Canal,Fratta Canal,,Esane del Progetto di sistemazione degli scoli che si scaricano in fratta e gorzone presentato dai consorzi interessati in relazione al governativo decreto 18 agosto 1845,1850,0,,Fratta Canal,"Manuscript, blue wrapper, 23 x 33 cm, 32 leaves, unnumbered, mss both recto and verso",Examination of arrangement Project drains that discharge into Fratta Canal presented by the consortia concerned in relation to the Government Decree 18 August 1845
"Shanly, F.","Shanly, Francis",Shanley,,Shipping Bill C.P.Greer & Co.,1850,0,,NA,20x15 cm printed paper,Shipment for F. Shanly
,Ponte sul Fiume Olona,Strada postale da Varese a Milano,,"Disegni, Ponte sul Fiume Olona",1850,0,,Verona,"Green paper portoflio, 37 x 24 cm, folio cover with 3 leaves","Two leaves included, printed both sides. Pen and colour ink, plan, profile and section of proposed stone bridge"
,"United States, Government of",General,,Subject of rivers and harbors,1850,0,,NA,"extract, 57 pgs",
,"Gillespie, W. M.",Road design,A manual for road building and railway bed construction.,"A manual of the principles and practice of road-making: comprising the location, construction, and improvement of roads (common, macadam, paved, plank, etc.) and railroads",1851,0,,New York,"Brown cloth boards, embossed, gilt stamping on spine, advertisements inside cover, script on title page, 14.5x21.5 cm, illustrated, 8 pp. advertisements, 372 pp.",Fourth edition with additions.
,"Great Britain, Government of",Street Improvements,,"Seventh report of the Commissioners appointed by her Majesty to inquire into and consider the msot effectual means of improving the Metropolis, and of providing increased facilities of communication within the same",1851,0,,London,"Disbound, 21 x 32 cm, [title], 42 pgs, 4 folding maps",
Vecchi,"Vecchi, Domenico de",Arno River control,,Ragionamento sullo Stato dell’Arno al di dentro di Firenze e delle sue Relazioni colle esigenze della Città. Esercitazione idraulica,1851,0,,Arno River,"Half leather, 15 x 22.5 cm, [half title][title], viii, 113 pgs, [indice][errata], 2 folding plates",
